timestamp,subscribers,likes,source
2026-07-11T15:21:00Z,0,0,seed
2026-07-12T12:00:00Z,1014,,seed
2026-07-14T12:00:00Z,2802,,seed
2026-07-16T12:00:00Z,6980,,seed
2026-07-17T12:00:00Z,9996,,seed
2026-07-18T08:30:00Z,10010,236,seed
2026-07-18T23:00:00Z,11822,,seed
2026-07-19T08:45:00Z,13444,299,seed
2026-07-19T09:23:59Z,13472,299,api
2026-07-19T09:33:04Z,13486,300,api
2026-07-19T13:56:32Z,13957,305,api
2026-07-19T19:35:30Z,14635,325,api
2026-07-20T04:07:55Z,15077,332,api
2026-07-20T09:37:00Z,15333,336,api
2026-07-20T14:35:18Z,15786,346,api
2026-07-20T19:59:00Z,16336,350,api
2026-07-21T03:50:03Z,16750,357,api
2026-07-21T08:48:40Z,16969,360,api
2026-07-21T14:26:35Z,17414,373,api
2026-07-21T19:54:48Z,17921,385,api
2026-07-22T03:50:37Z,18329,389,api
2026-07-22T08:47:08Z,18506,389,api
2026-07-22T14:27:05Z,18928,394,api
2026-07-22T19:52:17Z,19367,401,api
2026-07-23T03:48:30Z,19733,404,api
2026-07-23T08:46:39Z,19953,406,api
2026-07-23T14:35:59Z,20461,412,api
2026-07-23T19:48:51Z,20976,419,api
2026-07-24T03:47:36Z,21376,427,api
2026-07-24T08:45:13Z,21613,429,api
2026-07-24T14:16:05Z,22095,436,api
2026-07-24T19:49:32Z,22648,449,api
2026-07-25T03:42:16Z,23128,459,api
2026-07-25T08:26:32Z,23440,464,api
2026-07-25T14:05:01Z,24025,470,api
2026-07-25T19:37:18Z,24628,476,api
2026-07-26T03:59:16Z,25116,490,api
2026-07-26T08:41:03Z,25455,493,api
2026-07-26T14:01:41Z,26052,501,api
2026-07-26T19:37:53Z,26748,514,api
2026-07-27T04:06:00Z,27228,528,api
2026-07-27T10:11:32Z,27499,530,api
2026-07-27T15:17:22Z,27973,534,api
2026-07-27T19:58:14Z,28416,540,api
2026-07-28T03:40:51Z,28845,550,api
2026-07-28T09:08:22Z,29051,552,api
2026-07-28T14:42:00Z,29483,556,api
2026-07-28T19:54:56Z,29947,567,api
2026-07-29T03:44:26Z,30327,573,api
2026-07-29T09:12:56Z,30589,576,api
2026-07-29T14:33:45Z,31035,583,api
2026-07-29T19:47:30Z,31447,588,api
2026-07-30T03:33:16Z,31867,595,api
2026-07-30T09:06:04Z,32091,596,api
2026-07-30T14:35:50Z,32525,601,api
2026-07-30T19:55:10Z,32923,606,api
2026-07-31T03:53:55Z,33329,610,api
2026-07-31T09:19:12Z,33576,611,api
2026-07-31T14:39:17Z,34037,618,api
2026-07-31T19:55:53Z,34481,629,api
2026-08-01T03:54:00Z,34941,635,api
2026-08-01T08:35:33Z,35221,637,api
2026-08-01T13:58:52Z,35713,644,api
2026-08-01T19:36:49Z,36291,656,api
2026-08-02T03:56:47Z,36805,663,api
2026-08-02T08:38:25Z,37133,667,api
2026-08-02T14:00:06Z,37657,672,api
2026-08-02T19:37:18Z,38293,681,api
2026-08-03T03:58:25Z,38753,687,api
2026-08-03T10:08:17Z,39012,688,api
2026-08-03T15:20:24Z,39464,692,api
2026-08-03T20:01:04Z,39781,699,api
2026-08-04T03:42:06Z,40136,704,api
2026-08-04T09:12:19Z,40327,709,api
2026-08-04T14:42:03Z,40709,714,api
2026-08-04T19:59:38Z,41071,719,api
2026-08-05T03:37:25Z,41373,724,api
2026-08-05T09:09:19Z,41571,726,api
2026-08-05T14:36:19Z,41923,730,api
2026-08-05T19:57:35Z,42284,737,api
2026-08-06T03:42:55Z,42667,746,api
2026-08-06T09:09:31Z,42902,748,api
2026-08-06T14:37:50Z,43319,751,api
2026-08-07T00:17:39Z,44056,759,api
2026-08-07T07:44:55Z,44384,760,api
2026-08-07T13:42:01Z,44834,764,api
2026-08-07T19:18:32Z,45354,769,api
2026-08-08T02:23:35Z,45814,773,api
2026-08-08T07:17:56Z,46095,776,api
2026-08-08T13:14:39Z,46642,784,api
2026-08-08T19:01:48Z,47167,788,api
2026-08-09T02:31:42Z,47667,792,api
2026-08-09T07:25:44Z,47927,795,api
